horas_trabajo_totales,area,ciudad,etnia,condicion_actividad,empleo_adecuado,desempleado,personas_hogar,genero,edad,seguro,estado_civil,asiste_a_clases,nivel_educativo,como_busca_empleo,razon_dejo_trabajo,ocupacion_actual,tiempo_experiencia
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,66.0, Ninguno, Casado(a), No,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,60.0, Ninguno, Casado(a), No,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,84.0, Ninguno, Viudo(a), No,4.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,53.0, Ninguno, Soltero(a), No,9.0,,,2,30.0
, Urbana,Cuenca,,9.0,,,Persona 3, Mujer,21.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
48.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,32.0, Ninguno, Casado(a), No,9.0,,,2,11.0
56.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,35.0, Ninguno, Casado(a), No,6.0,,,2,4.0
49.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Mujer,64.0, Ninguno, Viudo(a), No,6.0,,,6,30.0
50.0, Urbana,Cuenca,,4.0,,,Persona 2, Hombre,40.0, Ninguno, Soltero(a), No,9.0,,,6,10.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,58.0, Ninguno, Casado(a), No,9.0,,,1,12.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,56.0, Ninguno, Casado(a), No,10.0,,,2,10.0
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,72.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,68.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,57.0, Ninguno, Casado(a), No,4.0,,,5,38.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,58.0, Ninguno, Casado(a), No,4.0,,,2,12.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 3, Hombre,32.0, Ninguno, Soltero(a), No,6.0,,,2,10.0
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,51.0, Ninguno, Separado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,24.0, Ninguno, Soltero(a), No,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 3, Mujer,20.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,91.0, Ninguno, Divorciado(a), No,4.0, No realizó ninguna gestión,,,
